Sample_ID	Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change	OD_Offset	MSE	dx_auc_lin	dx_auc_log	dx_k_lin	dx_k_log	dx_t_k	dx_gr	dx_dr	dx_td	dx_t_gr	dx_t_dr	dx_death_lin	dx_death_log	dx_lagC	dx_lagP	dx_t0	dx_tf	K_Error > 20%
4	E1	2020-06-22-R1	Trehalose	Low	CD1007	RT053	1	0	0	0.096	0.092	0.194	3.632333333333333	0.7259259259259259	0.096	1.315880957181849e-06	0.6134859818752143	0.5207343734768524	0.4739136515534179	0.38792121101553595	7.833333333333333	0.1531923277667767	0.09827717532534015	4.52468599873492	6.666666666666667	7.833333333333333	0.0	0.0	5.134021836529662	1.0	0.0	8.0	FALSE
4	E1	2020-06-22-R1	Trehalose	Low	CD1007	RT053	1	0	0	0.096	0.092	0.194	3.632333333333333	0.7259259259259259	0.096	1.315880957181849e-06	3.487854237812247	3.110044209199413	0.34448160227482694	0.2960085129402084	11.0	0.15008797997547582	-0.030975329311039843	4.618272433763214	9.333333333333334	18.166666666666668	0.25197397522082876	0.2075328836918452	8.307690723824154	8.0	8.0	24.0	FALSE
5	F1	2020-06-22-R1	Trehalose	High	CD1007	RT053	1	0	0	0.104	0.1	0.201	3.777833333333333	0.7185185185185186	0.104	7.095104932515393e-06	0.8696533408248761	0.7312696088771868	0.5215489471566659	0.41972886016715266	7.833333333333333	0.1785814317245116	0.006139552256828375	3.8814067838207715	6.5	7.833333333333333	0.0	0.0	4.970948821118695	0.0	0.0	8.0	FALSE
5	F1	2020-06-22-R1	Trehalose	High	CD1007	RT053	1	0	0	0.104	0.1	0.201	3.777833333333333	0.7185185185185186	0.104	7.095104932515393e-06	1.9664036040308144	1.8139208528786541	0.22244181652567185	0.20085034739023588	10.5	0.16140511533860696	-0.060829263518552286	4.294456090228693	9.5	11.166666666666666	0.2151604084561507	0.19359532078704378	8.916188753965095	8.0	8.0	24.0	FALSE
6	G1	2020-06-22-R1	Water	None	CD1007	RT053	1	1	0	0.096	0.093	0.231	4.132	1.0	0.096	2.4791104353718567e-06	0.9303037815047074	0.7827452101909232	0.5461648813934654	0.43577759479767775	8.333333333333334	0.14917127519935838	0.07431739286376256	4.646653181945358	6.666666666666667	8.333333333333334	0.0	0.0	5.059472688869456	1.1666666666666667	0.0	8.5	FALSE
6	G1	2020-06-22-R1	Water	None	CD1007	RT053	1	1	0	0.096	0.093	0.231	4.132	1.0	0.096	2.4791104353718567e-06	0.6822227975539025	0.610089049279993	0.323016485728838	0.27991434592354086	12.166666666666666	0.11599810335879192	0.003513676256011095	5.975504430585237	10.166666666666666	12.166666666666666	0.0	0.0	8.866123970035833	8.5	8.5	12.333333333333334	FALSE
6	G1	2020-06-22-R1	Water	None	CD1007	RT053	1	1	0	0.096	0.093	0.231	4.132	1.0	0.096	2.4791104353718567e-06	1.0419925218408659	0.9856312380388282	0.15598706205273305	0.14495457819164914	23.833333333333332	0.027229679960711968	0.012079678063880963	25.455575737946415	14.166666666666666	23.833333333333332	0.0	0.0	13.250001088412649	12.333333333333334	12.333333333333334	24.0	FALSE
8	A2	2020-06-22-R1	Glucose	Low	CD1015	RT078	2	0	0	0.099	0.097	0.464	8.393666666666666	2.8076923076923075	0.099	2.1477726738738723e-06	0.8361668506521115	0.6783253799926122	0.80562977131315	0.5909094347066747	3.6666666666666665	0.32244602451097887	0.25871462896529096	2.1496533617096727	2.8333333333333335	3.6666666666666665	0.0	0.0	1.7664700039948844	0.3333333333333333	0.0	3.8333333333333335	FALSE
8	A2	2020-06-22-R1	Glucose	Low	CD1015	RT078	2	0	0	0.099	0.097	0.464	8.393666666666666	2.8076923076923075	0.099	2.1477726738738723e-06	22.322437040925763	14.44278922837924	1.492191303487894	0.9131623650284841	13.833333333333334	0.2940365496614399	-0.41057696615707434	2.357350408845601	4.833333333333333	22.166666666666668	1.453063261081964	0.8747804243099995	3.920702732449938	3.8333333333333335	3.8333333333333335	24.0	FALSE
14	G2	2020-06-22-R1	Water	None	CD1015	RT078	2	1	0	0.092	0.091	0.222	4.431666666666666	1.0	0.092	3.104381682311115e-07	0.12162601985152799	0.11667617557248737	0.13176774989105478	0.12378079079040566	3.1666666666666665	0.0827835016472441	0.0792801875851074	8.373011128637375	2.8333333333333335	3.1666666666666665	0.0	0.0	1.6661752458245034	0.3333333333333333	0.0	3.3333333333333335	FALSE
14	G2	2020-06-22-R1	Water	None	CD1015	RT078	2	1	0	0.092	0.091	0.222	4.431666666666666	1.0	0.092	3.104381682311115e-07	0.5301986233420168	0.4699167943427033	0.40012214257156953	0.33655947750959414	6.166666666666667	0.1578450124724744	0.09186149171395867	4.391315060910264	5.0	6.166666666666667	0.0	0.0	3.8370990787392887	3.3333333333333335	3.3333333333333335	6.333333333333333	FALSE
14	G2	2020-06-22-R1	Water	None	CD1015	RT078	2	1	0	0.092	0.091	0.222	4.431666666666666	1.0	0.092	3.104381682311115e-07	7.148380200973678	5.927051953133679	0.48587961293846016	0.3960069288404312	15.166666666666666	0.12543265497553274	-0.008300547813186366	5.526050458671648	7.666666666666667	23.833333333333332	0.06664501445772775	0.04588921770256649	6.582237004173756	6.333333333333333	6.333333333333333	24.0	FALSE
18	C3	2020-06-22-R1	Fructose	Low	CD2001	RT078	3	0	0	0.089	0.089	0.57	7.604833333333334	3.5367647058823524	0.089	6.365315530845344e-07	0.3620367290742874	0.3210196067833411	0.435212397850379	0.36131285069811253	3.0	0.2706169869199512	0.23903836147259253	2.5613587249235725	2.5	3.0	0.0	0.0	1.642359682640655	0.0	0.0	3.1666666666666665	FALSE
18	C3	2020-06-22-R1	Fructose	Low	CD2001	RT078	3	0	0	0.089	0.089	0.57	7.604833333333334	3.5367647058823524	0.089	6.365315530845344e-07	33.86642438995938	16.7784569487099	3.2875704886196093	1.4557202528512845	11.666666666666666	0.40875270713635004	-0.613069251735536	1.6957616878332455	4.666666666666667	17.0	3.3634737807867157	1.5346588035116273	3.464602905909268	3.1666666666666665	3.1666666666666665	24.0	FALSE
22	G3	2020-06-22-R1	Water	None	CD2001	RT078	3	1	0	0.102	0.1	0.238	4.8335	1.0	0.102	2.1106577973991558e-07	1.1666866188995981	0.9692129955718302	0.6568252312691583	0.5049032598999603	6.0	0.19513734245453024	0.08529239361683043	3.5520991105096065	4.333333333333333	6.0	0.0	0.0	2.9379878042696577	0.5	0.0	6.166666666666667	FALSE
22	G3	2020-06-22-R1	Water	None	CD2001	RT078	3	1	0	0.102	0.1	0.238	4.8335	1.0	0.102	2.1106577973991558e-07	5.952343076457486	5.083233570277119	0.3984391541687333	0.3353567247897	13.666666666666666	0.10201930135386864	-0.009622760304649813	6.794274920151281	7.333333333333333	23.833333333333332	0.047441126379876186	0.034513125628501506	6.271599106848784	6.166666666666667	6.166666666666667	24.0	FALSE
26	C4	2020-06-22-R1	Fructose	Low	CD2015	RT027	4	0	0	0.099	0.095	0.586	8.305666666666667	6.7638888888888875	0.099	2.5615117059298203e-05	5.519379925229735	3.128371142110332	2.902744917853716	1.3616801306575745	8.666666666666666	0.5045128498043356	-0.0064769690144510185	1.3738940065228613	7.0	8.666666666666666	0.0	0.0	5.276949837957617	0.0	0.0	8.833333333333334	FALSE
26	C4	2020-06-22-R1	Fructose	Low	CD2015	RT027	4	0	0	0.099	0.095	0.586	8.305666666666667	6.7638888888888875	0.099	2.5615117059298203e-05	2.7464363438075567	1.7341064389633047	0.5173160053474373	0.41694298806485697	17.333333333333332	0.22867274017268885	-0.43414382466524687	3.0311753820612597	10.5	21.333333333333332	1.1001214109181707	1.2911455007893917	9.81284820742132	9.333333333333334	8.833333333333334	24.0	FALSE
27	D4	2020-06-22-R1	Fructose	High	CD2015	RT027	4	0	0	0.106	0.101	0.582	9.409	6.61111111111111	0.106	3.1588788925724224e-05	4.8069503168175185	2.7485792879152773	2.708565683741342	1.310645193711171	8.666666666666666	0.503035521434981	0.026345741939414812	1.3779288957222018	7.0	8.666666666666666	0.0	0.0	5.387181382551198	0.0	0.0	8.833333333333334	FALSE
27	D4	2020-06-22-R1	Fructose	High	CD2015	RT027	4	0	0	0.106	0.101	0.582	9.409	6.61111111111111	0.106	3.1588788925724224e-05	4.841254097390133	4.112468766788877	0.47237323385427765	0.3868755437744198	22.0	0.11798581750826052	-0.014265436926472785	5.874834748773225	10.166666666666666	22.666666666666668	0.014143671755099563	0.009652472582467375	9.572104873994114	8.833333333333334	8.833333333333334	24.0	FALSE
36	E5	2020-06-22-R1	Trehalose	Low	CD2048	RT053	5	0	0	0.097	0.093	0.22	4.252166666666667	1.1941747572815533	0.097	1.5104336840301537e-06	0.9099150573290709	0.7687668408487127	0.5508422669507302	0.43879818137663673	7.0	0.1539821089018136	0.09012738273082908	4.501478681539095	5.5	7.0	0.0	0.0	3.862843369657123	1.3333333333333333	0.0	7.166666666666667	FALSE
36	E5	2020-06-22-R1	Trehalose	Low	CD2048	RT053	5	0	0	0.097	0.093	0.22	4.252166666666667	1.1941747572815533	0.097	1.5104336840301537e-06	5.753654154198626	4.899145755913417	0.4269870204714259	0.3555652427780889	19.333333333333332	0.13469869407321303	-0.008745040716533703	5.145908691462129	8.666666666666666	20.166666666666668	0.025393972418589428	0.01795576159836465	7.413418184469507	7.166666666666667	7.166666666666667	24.0	FALSE
37	F5	2020-06-22-R1	Trehalose	High	CD2048	RT053	5	0	0	0.097	0.095	0.211	4.152833333333333	1.106796116504854	0.097	2.639193344843814e-06	0.623863165754818	0.5531812887508162	0.41766966401210714	0.34901444188197034	6.333333333333333	0.12969124587653588	0.11548834729252971	5.344594971504947	5.5	6.333333333333333	0.0	0.0	3.6012258429968957	0.0	0.0	6.5	FALSE
37	F5	2020-06-22-R1	Trehalose	High	CD2048	RT053	5	0	0	0.097	0.095	0.211	4.152833333333333	1.106796116504854	0.097	2.639193344843814e-06	0.9235134774153446	0.8017372963862566	0.4077756890222832	0.3420109332704355	9.833333333333334	0.138777595866338	-0.012519933498202202	4.994661971429032	8.0	10.166666666666666	0.0022798405357185025	0.0016207756730202139	6.6573579898007935	6.5	6.5	10.333333333333334	FALSE
37	F5	2020-06-22-R1	Trehalose	High	CD2048	RT053	5	0	0	0.097	0.095	0.211	4.152833333333333	1.106796116504854	0.097	2.639193344843814e-06	0.4195138576494963	0.4052192093497325	0.0742089188687658	0.07158450125569016	19.666666666666668	0.049586758795097226	-0.013184041774189534	13.97847323363427	14.833333333333334	21.166666666666668	0.031201893247003953	0.029476589284897825	14.698553094719092	11.166666666666666	10.333333333333334	24.0	FALSE
38	G5	2020-06-22-R1	Water	None	CD2048	RT053	5	1	0	0.092	0.089	0.195	3.8444999999999996	1.0	0.092	1.3070989884152758e-06	0.9178054039751168	0.7777563231050909	0.5412166073201357	0.43257210928936946	7.166666666666667	0.16779901269753167	0.06339705056213389	4.130817991220169	5.666666666666667	7.166666666666667	0.0	0.0	4.16628608843607	0.8333333333333334	0.0	7.333333333333333	FALSE
38	G5	2020-06-22-R1	Water	None	CD2048	RT053	5	1	0	0.092	0.089	0.195	3.8444999999999996	1.0	0.092	1.3070989884152758e-06	4.804064306890247	4.182049755739155	0.3570343836315306	0.3053017185063299	15.5	0.12920029440019312	-0.016742315262838182	5.364904033522923	8.833333333333334	19.5	0.09452154659567147	0.07219766844144992	7.760136701788804	7.333333333333333	7.333333333333333	24.0	FALSE
40	A6	2020-06-22-R1	Glucose	Low	CD2058	Unknown	6	0	0	0.094	0.092	0.625	8.875166666666665	5.363636363636363	0.094	5.4166633194977756e-05	22.071922526537318	10.528105747277692	3.7217567052638767	1.5521809136730509	8.5	0.45019718391455926	-0.08567961380273113	1.5396524130446234	6.0	12.5	0.9593839096860006	0.2271310926538619	3.984816325560419	0.0	0.0	12.666666666666666	FALSE
40	A6	2020-06-22-R1	Glucose	Low	CD2058	Unknown	6	0	0	0.094	0.092	0.625	8.875166666666665	5.363636363636363	0.094	5.4166633194977756e-05	4.546197332497564	3.6090476275608503	0.7056774016616034	0.5339623348588642	17.5	0.2738686373895381	-0.08543428954464748	2.5309476366731425	15.5	23.833333333333332	0.32308427366793535	0.21000152069249411	14.742329742819715	13.833333333333334	12.666666666666666	24.0	FALSE
41	B6	2020-06-22-R1	Glucose	High	CD2058	Unknown	6	0	0	0.102	0.102	0.662	9.697999999999999	5.656565656565657	0.102	0.00022824232377780874	20.810534461757346	10.163330467030274	3.405987731122564	1.482964463792199	8.833333333333334	0.46567315262658	-0.17077806299524334	1.4884843084689812	6.166666666666667	12.666666666666666	0.9150282488458288	0.2327878420738827	4.325190390245027	0.0	0.0	12.833333333333334	FALSE
41	B6	2020-06-22-R1	Glucose	High	CD2058	Unknown	6	0	0	0.102	0.102	0.662	9.697999999999999	5.656565656565657	0.102	0.00022824232377780874	6.714832522853341	4.975829160071959	0.8378398999860355	0.6085909145824779	16.666666666666668	0.4266574793954964	-0.03988973385795506	1.6245986863795778	15.0	19.333333333333332	0.08270036222777	0.04604255213112918	14.403603367201296	13.666666666666666	12.833333333333334	24.0	FALSE
