Well	Plate_ID	Substrate	Concentration	Isolate	Ribotype	Group	Control	Flag	Subset	OD_Baseline	OD_Min	OD_Max	OD_Emp_AUC	Fold_Change
A1	2020-06-22-R2	Glucose	Low	CD1007	RT053	1	0	0	1	0.084	0.082	0.509	8.427999999999999	3.8288288288288284
B1	2020-06-22-R2	Glucose	High	CD1007	RT053	1	0	0	1	0.09	0.088	0.552	9.532166666666665	4.162162162162162
C1	2020-06-22-R2	Fructose	Low	CD1007	RT053	1	0	0	1	0.089	0.088	0.434	7.0615	3.1081081081081074
D1	2020-06-22-R2	Fructose	High	CD1007	RT053	1	0	0	1	0.088	0.087	0.539	9.019333333333332	4.063063063063063
E1	2020-06-22-R2	Trehalose	Low	CD1007	RT053	1	0	0	1	0.093	0.091	0.201	3.5971666666666664	0.9729729729729729
F1	2020-06-22-R2	Trehalose	High	CD1007	RT053	1	0	0	1	0.09	0.087	0.205	3.8205	1.036036036036036
G1	2020-06-22-R2	Water	None	CD1007	RT053	1	1	0	1	0.09	0.088	0.201	3.5854999999999997	1.0
H1	2020-06-22-R2	Glucose	Low			13	0	0	1	0.078	0.072	0.079	1.8378333333333328	inf
A2	2020-06-22-R2	Glucose	Low	CD1015	RT078	2	0	0	1	0.088	0.088	0.515	9.371833333333333	3.4435483870967745
B2	2020-06-22-R2	Glucose	High	CD1015	RT078	2	0	0	1	0.089	0.087	0.566	10.610333333333333	3.846774193548387
C2	2020-06-22-R2	Fructose	Low	CD1015	RT078	2	0	0	1	0.087	0.086	0.509	7.519500000000001	3.4032258064516134
D2	2020-06-22-R2	Fructose	High	CD1015	RT078	2	0	0	1	0.09	0.088	0.471	8.916666666666668	3.0725806451612905
E2	2020-06-22-R2	Trehalose	Low	CD1015	RT078	2	0	0	1	0.093	0.092	0.49	8.768333333333333	3.2016129032258065
F2	2020-06-22-R2	Trehalose	High	CD1015	RT078	2	0	0	1	0.094	0.093	0.586	10.210666666666667	3.967741935483871
G2	2020-06-22-R2	Water	None	CD1015	RT078	2	1	0	1	0.089	0.088	0.213	4.249833333333332	1.0
H2	2020-06-22-R2	Glucose	High			13	0	0	1	0.138	0.069	0.142	2.2921666666666667	inf
A3	2020-06-22-R2	Glucose	Low	CD2001	RT078	3	0	0	1	0.093	0.092	0.556	8.527166666666666	3.7040000000000006
B3	2020-06-22-R2	Glucose	High	CD2001	RT078	3	0	0	1	0.089	0.088	0.609	11.352666666666666	4.16
C3	2020-06-22-R2	Fructose	Low	CD2001	RT078	3	0	0	1	0.089	0.087	0.613	7.995666666666666	4.192
D3	2020-06-22-R2	Fructose	High	CD2001	RT078	3	0	0	1	0.097	0.096	0.596	11.068166666666665	3.992
E3	2020-06-22-R2	Trehalose	Low	CD2001	RT078	3	0	0	1	0.093	0.091	0.527	9.450166666666666	3.4720000000000004
F3	2020-06-22-R2	Trehalose	High	CD2001	RT078	3	0	0	1	0.089	0.088	0.691	11.8805	4.816
G3	2020-06-22-R2	Water	None	CD2001	RT078	3	1	0	1	0.087	0.086	0.212	4.246833333333332	1.0
H3	2020-06-22-R2	Fructose	Low			13	0	0	1	0.088	0.071	0.09	1.8839999999999997	inf
